         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      115    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:947(get_data)
       70    0.000    0.000    0.001    0.000 typing.py:1430(_make_substitution)
        2    0.000    0.000    0.000    0.000 numeric.py:170(ones)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      230    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
   115/10    0.000    0.000    0.211    0.021 <frozen importlib._bootstrap_external>:753(exec_module)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       40    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
   152/26    0.000    0.000    0.141    0.005 <frozen importlib._bootstrap>:1401(_handle_fromlist)
      978    0.000    0.000    0.000    0.000 typing.py:1355(__eq__)
        5    0.000    0.000    0.004    0.001 dataclasses.py:986(_process_class)
      345    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       70    0.000    0.000    0.001    0.000 typing.py:1401(_determine_new_args)
      918    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1045    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
       70    0.000    0.000    0.003    0.000 typing.py:1370(__getitem__)
      133    0.000    0.000    0.054    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
       28    0.000    0.000    0.001    0.000 inspect.py:2306(_signature_from_function)
     1736    0.000    0.000    0.000    0.000 typing.py:777(<genexpr>)
      115    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
     2403    0.000    0.000    0.000    0.000 {method 'isspace' of 'str' objects}
     1181    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      146    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:419(__enter__)
      307    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      812    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
      251    0.000    0.000    0.000    0.000 typing.py:1276(__getattr__)
   418/21    0.000    0.000    0.206    0.010 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
     1042    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1519    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:494(_verbose_message)
     1906    0.000    0.000    0.000    0.000 typing.py:1345(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
      171    0.000    0.000    0.001    0.000 typing.py:1225(__init__)
      815    0.000    0.000    0.000    0.000 _parser.py:261(get)
     1045    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
     1207    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       50    0.000    0.000    0.000    0.000 typing.py:365(_flatten_literal_params)
        3    0.000    0.000    0.000    0.000 enum.py:1739(convert_class)
      126    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     1087    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      985    0.000    0.000    0.000    0.000 _parser.py:240(__next)
    18/14    0.000    0.000    0.001    0.000 annotationlib.py:688(call_annotate_function)
      225    0.000    0.000    0.000    0.000 _parser.py:176(append)
      571    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       97    0.000    0.000    0.000    0.000 {built-in method fromkeys}
    36/28    0.000    0.000    0.001    0.000 inspect.py:2412(_signature_from_callable)
    60/23    0.000    0.000    0.002    0.000 _parser.py:452(_parse_sub)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
       23    0.000    0.000    0.004    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
      260    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:448(cb)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      318    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
  540/521    0.000    0.000    0.000    0.000 typing.py:1361(__hash__)
   155/52    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
