         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 enum.py:36(_is_descriptor)
       55    0.000    0.000    0.000    0.000 enum.py:57(_is_sunder)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:621(Path)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:917(__init__)
       12    0.000    0.000    0.000    0.000 inspect.py:1909(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotationlib.py:443(__getitem__)
        5    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 enum.py:465(__prepare__)
        1    0.000    0.000    0.000    0.000 _iotools.py:452(StringConverter)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:665(spec_from_loader)
        1    0.000    0.000    0.000    0.000 {built-in method _ctypes.dlopen}
       80    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       21    0.000    0.000    0.000    0.000 overrides.py:25(get_array_function_like_doc)
        2    0.000    0.000    0.000    0.000 enum.py:1445(_missing_)
        1    0.000    0.000    0.005    0.005 einsumfunc.py:1(<module>)
      153    0.000    0.000    0.000    0.000 inspect.py:2732(name)
      108    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       23    0.000    0.000    0.004    0.000 __init__.py:287(compile)
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:472(__enter__)
        4    0.000    0.000    0.000    0.000 inspect.py:2030(_signature_bound_method)
        5    0.000    0.000    0.000    0.000 dataclasses.py:728(_frozen_get_del_attr)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:266(__init__)
       18    0.000    0.000    0.000    0.000 _compiler.py:481(_get_charset_prefix)
       79    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       41    0.000    0.000    0.000    0.000 dataclasses.py:579(_field_assign)
        1    0.000    0.000    0.000    0.000 __init__.py:124(_getuserbase)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.032    0.032 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 warnings.py:1(<module>)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:942(get_filename)
        3    0.000    0.000    0.000    0.000 typing.py:1364(__or__)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotationlib.py:653(__missing__)
       35    0.000    0.000    0.000    0.000 dataclasses.py:922(_set_new_attribute)
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
       12    0.000    0.000    0.000    0.000 inspect.py:1711(_shadowed_dict)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.038    0.038 _arraypad_impl.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 dataclasses.py:415(_fields_in_init_order)
       17    0.000    0.000    0.000    0.000 enum.py:745(__delattr__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       60    0.000    0.000    0.000    0.000 inspect.py:267(isfunction)
       46    0.000    0.000    0.000    0.000 _compiler.py:587(isstring)
       41    0.000    0.000    0.000    0.000 dataclasses.py:651(_init_param)
       59    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       25    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 glob.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:594(_scalar_type_key)
        1    0.000    0.000    0.000    0.000 multiarray.py:81(_override___module__)
        1    0.000    0.000    0.000    0.000 _linalg.py:238(_assert_stacked_square)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1337(<genexpr>)
        8    0.000    0.000    0.000    0.000 <frozen os>:786(encode)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
      105    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        4    0.000    0.000    0.000    0.000 {built-in method posix.readlink}
        3    0.000    0.000    0.000    0.000 _linalg.py:164(_makearray)
        1    0.000    0.000    0.000    0.000 defmatrix.py:73(matrix)
        1    0.000    0.000    0.001    0.001 textwrap.py:17(TextWrapper)
        1    0.000    0.000    0.000    0.000 _nbit.py:1(<module>)
       14    0.000    0.000    0.000    0.000 annotationlib.py:664(transmogrify)
        2    0.000    0.000    0.000    0.000 _index_tricks_impl.py:337(__init__)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:750(create_module)
        6    0.000    0.000    0.000    0.000 enum.py:1040(_add_member_)
       20    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:560(vander)
       26    0.000    0.000    0.000    0.000 typing.py:1127(<genexpr>)
       57    0.000    0.000    0.000    0.000 __init__.py:435(<genexpr>)
        3    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1093(poly1d)
        1    0.000    0.000    0.000    0.000 typing.py:3493(IO)
        3    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
      119    0.000    0.000    0.000    0.000 inspect.py:2744(kind)
       46    0.000    0.000    0.000    0.000 dataclasses.py:733(<genexpr>)
        1    0.000    0.000    0.000    0.000 getlimits.py:178(__new__)
        1    0.000    0.000    0.000    0.000 pickle.py:418(_Pickler)
        3    0.000    0.000    0.000    0.000 getlimits.py:412(__init__)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       26    0.000    0.000    0.000    0.000 typing.py:2133(<genexpr>)
        4    0.000    0.000    0.000    0.000 enum.py:1582(__or__)
        5    0.000    0.000    0.000    0.000 reprlib.py:12(decorating_function)
       13    0.000    0.000    0.000    0.000 mixins.py:45(_numeric_methods)
        8    0.000    0.000    0.000    0.000 inspect.py:1685(_check_class)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _linalg.py:100(__annotate__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
       12    0.000    0.000    0.000    0.000 enum.py:186(__get__)
        9    0.000    0.000    0.000    0.000 typing.py:1517(__mro_entries__)
        1    0.000    0.000    0.000    0.000 numeric.py:97(zeros_like)
       10    0.000    0.000    0.000    0.000 annotationlib.py:886(get_annotate_from_class_namespace)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
        6    0.000    0.000    0.000    0.000 warnings.py:80(__enter__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotationlib.py:421(__make_new)
       23    0.000    0.000    0.000    0.000 _parser.py:947(fix_flags)
        2    0.000    0.000    0.000    0.000 _linalg.py:88(__annotate__)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:639(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:60(finfo)
        1    0.000    0.000    0.000    0.000 contextlib.py:17(AbstractContextManager)
        4    0.000    0.000    0.000    0.000 enum.py:968(_find_data_type_)
       41    0.000    0.000    0.000    0.000 dataclasses.py:294(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
     29/9    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        4    0.000    0.000    0.000    0.000 _colorize.py:140(no_colors)
        5    0.000    0.000    0.000    0.000 dataclasses.py:943(_hash_add)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:473(__new__)
       21    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 __init__.py:135(joinuser)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:792(get)
        1    0.000    0.000    0.000    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       47    0.000    0.000    0.000    0.000 _compiler.py:442(_get_iscased)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        5    0.000    0.000    0.000    0.000 dataclasses.py:424(_tuple_str)
        1    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._populate_finfo_constants}
        8    0.000    0.000    0.000    0.000 inspect.py:1724(getattr_static)
        1    0.000    0.000    0.000    0.000 threading.py:1393(__init__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:504(_requires_builtin_wrapper)
       23    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:1004(TracebackException)
        2    0.000    0.000    0.000    0.000 enum.py:995(_find_new_)
        2    0.000    0.000    0.000    0.000 _linalg.py:96(__annotate__)
        1    0.000    0.000    0.001    0.001 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 functools.py:553(lru_cache)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:434(StackSummary)
        1    0.000    0.000    0.000    0.000 __init__.py:890(hugepage_setup)
        1    0.000    0.000    0.000    0.000 __init__.py:160(py_object)
        1    0.000    0.000    0.000    0.000 threading.py:880(__init__)
        8    0.000    0.000    0.000    0.000 annotationlib.py:326(__init__)
       42    0.000    0.000    0.000    0.000 _compiler.py:33(_combine_flags)
        2    0.000    0.000    0.000    0.000 _linalg.py:92(__annotate__)
        4    0.000    0.000    0.000    0.000 enum.py:927(_get_mixins_)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:229(expanduser)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 _array_api_info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:325(AxisConcatenator)
       42    0.000    0.000    0.000    0.000 _compat_pickle.py:164(<genexpr>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
       22    0.000    0.000    0.000    0.000 _type_aliases.py:128(<lambda>)
       41    0.000    0.000    0.000    0.000 dataclasses.py:756(_is_initvar)
        9    0.000    0.000    0.000    0.000 typing.py:310(_check_generic_specialization)
        6    0.000    0.000    0.000    0.000 _exceptions.py:16(_display_as_base)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
        1    0.000    0.000    0.000    0.000 _function_base_impl.py:2267(vectorize)
        1    0.000    0.000    0.000    0.000 _colorize.py:210(Theme)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 _ufunc_config.py:462(__init__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
       70    0.000    0.000    0.000    0.000 signal.py:16(<lambda>)
       20    0.000    0.000    0.000    0.000 mixins.py:17(_binary_method)
       14    0.000    0.000    0.000    0.000 mixins.py:27(_reflected_binary_method)
       44    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.000    0.000 __init__.py:198(_safe_realpath)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       71    0.000    0.000    0.000    0.000 signal.py:21(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:346(_reset_cache)
        6    0.000    0.000    0.000    0.000 typing.py:2483(get_origin)
       44    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 threading.py:869(Thread)
        4    0.000    0.000    0.000    0.000 annotationlib.py:395(__convert_to_ast_getitem)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:380(_tp_cache)
        4    0.000    0.000    0.000    0.000 inspect.py:2056(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:19(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 platform.py:938(uname_result)
       64    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 _compiler.py:405(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 __init__.py:1463(Logger)
        9    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:668(__exit__)
        4    0.000    0.000    0.000    0.000 inspect.py:3254(__str__)
        6    0.000    0.000    0.000    0.000 _nbit_base.py:57(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __init__.py:922(Handler)
        1    0.000    0.000    0.000    0.000 codeop.py:1(<module>)
       23    0.000    0.000    0.000    0.000 overrides.py:180(array_function_from_dispatcher)
       46    0.000    0.000    0.000    0.000 dataclasses.py:1169(<genexpr>)
        1    0.000    0.000    0.000    0.000 _array_utils_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1847(LoggerAdapter)
       37    0.000    0.000    0.000    0.000 enum.py:902(<lambda>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:549(__init__)
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 _npyio_impl.py:50(BagObj)
        1    0.000    0.000    0.000    0.000 _iotools.py:229(NameValidator)
       11    0.000    0.000    0.000    0.000 functools.py:65(wraps)
       17    0.000    0.000    0.000    0.000 typing.py:529(__init__)
        1    0.000    0.000    0.000    0.000 _expired_attrs_2_0.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc.py:1(<module>)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:992(create_module)
       33    0.000    0.000    0.000    0.000 dataclasses.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        7    0.000    0.000    0.000    0.000 enum.py:1425(_iter_member_by_value_)
        4    0.000    0.000    0.000    0.000 threading.py:126(RLock)
        8    0.000    0.000    0.000    0.000 functools.py:1095(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:1136(<genexpr>)
        1    0.000    0.000    0.000    0.000 typing.py:2912(<generic parameters of SupportsAbs>)
        9    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
        9    0.000    0.000    0.000    0.000 overrides.py:30(finalize_array_function_like)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:354(iinfo)
        7    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_def_)
        6    0.000    0.000    0.000    0.000 signal.py:51(decorator)
        1    0.000    0.000    0.000    0.000 _exceptions.py:108(_ArrayMemoryError)
        4    0.000    0.000    0.000    0.000 inspect.py:3049(replace)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(StreamHandler)
        3    0.000    0.000    0.000    0.000 {method '__array_wrap__' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:417(__init__)
        1    0.000    0.000    0.000    0.000 decoder.py:292(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:328(Integral)
        1    0.000    0.000    0.000    0.000 numerictypes.py:239(obj2sctype)
        5    0.000    0.000    0.000    0.000 dataclasses.py:536(_make_annotate_function)
        8    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _os.py:314(_PathInfoBase)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:2403(_descriptor_get)
        1    0.000    0.000    0.000    0.000 typing.py:3606(TextIO)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _npyio_impl.py:115(NpzFile)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1000(exec_module)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:278(FrameSummary)
        1    0.000    0.000    0.000    0.000 _colorize.py:242(no_colors)
        4    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
       20    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 contextlib.py:472(_BaseExitStack)
        6    0.000    0.000    0.000    0.000 typing.py:3116(_get_typeddict_qualifiers)
        1    0.000    0.000    0.000    0.000 _arrayterator_impl.py:16(Arrayterator)
        3    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha1}
       11    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
        4    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
       41    0.000    0.000    0.000    0.000 dataclasses.py:762(_is_kw_only)
        1    0.000    0.000    0.000    0.000 _py_warnings.py:294(simplefilter)
        4    0.000    0.000    0.000    0.000 annotationlib.py:415(__get_ast)
        2    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
       33    0.000    0.000    0.000    0.000 dataclasses.py:1233(<genexpr>)
        1    0.000    0.000    0.000    0.000 version.py:1(<module>)
        4    0.000    0.000    0.000    0.000 annotationlib.py:674(create_unique_name)
        1    0.000    0.000    0.000    0.000 glob.py:337(_GlobberBase)
        1    0.000    0.000    0.000    0.000 numerictypes.py:626(_register_types)
        1    0.000    0.000    0.000    0.000 {method 'as_arrays' of 'numpy._core._multiarray_umath._array_converter' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:232(is_python_build)
        1    0.000    0.000    0.000    0.000 _colorize.py:115(ThemeSection)
       16    0.000    0.000    0.000    0.000 typing.py:2974(<genexpr>)
        1    0.000    0.000    0.000    0.000 _internal.py:262(_ctypes)
        2    0.000    0.000    0.000    0.000 <frozen os>:790(decode)
        5    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 npyio.py:1(<module>)
        2    0.000    0.000    0.000    0.000 enum.py:917(_check_for_existing_members_)
       13    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:444(PercentStyle)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:1206(_add_alias_)
        1    0.000    0.000    0.000    0.000 argparse.py:157(HelpFormatter)
        1    0.000    0.000    0.000    0.000 _linalg.py:532(_unary_dispatcher)
        1    0.000    0.000    0.000    0.000 platform.py:882(_Processor)
        1    0.000    0.000    0.000    0.000 _array_like.py:31(_SupportsArray)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:64(Template)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:234(_init)
        1    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        2    0.000    0.000    0.000    0.000 arrayprint.py:577(decorating_function)
       13    0.000    0.000    0.000    0.000 mixins.py:37(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_224}
        1    0.000    0.000    0.000    0.000 argparse.py:1840(ArgumentParser)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:45(add)
        1    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
       18    0.000    0.000    0.000    0.000 dataclasses.py:420(<genexpr>)
        1    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 enum.py:333(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method _warnings._acquire_lock}
        1    0.000    0.000    0.000    0.000 __init__.py:534(LibraryLoader)
        2    0.000    0.000    0.000    0.000 _dtype_like.py:29(__annotate__)
        1    0.000    0.000    0.000    0.000 _colorize.py:157(Argparse)
        4    0.000    0.000    0.000    0.000 _linalg.py:183(_realType)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:799(__contains__)
        1    0.000    0.000    0.000    0.000 __init__.py:454(_load_library)
        7    0.000    0.000    0.000    0.000 enum.py:114(_iter_bits_lsb)
        4    0.000    0.000    0.000    0.000 inspect.py:2070(_signature_is_functionlike)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
        1    0.000    0.000    0.000    0.000 {method 'result_type' of 'numpy._core._multiarray_umath._array_converter' objects}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:12(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:278(Condition)
        2    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
       12    0.000    0.000    0.000    0.000 inspect.py:184(isclass)
       14    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1338(Manager)
        1    0.000    0.000    0.000    0.000 typing.py:1540(_SpecialGenericAlias)
        1    0.000    0.000    0.000    0.000 __init__.py:601(__init__)
       27    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
        1    0.000    0.000    0.000    0.000 __config__.py:14(DisplayModes)
        4    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        1    0.000    0.000    0.000    0.000 contextlib.py:41(AbstractAsyncContextManager)
        2    0.000    0.000    0.000    0.000 _dtype_like.py:35(__annotate__)
        5    0.000    0.000    0.000    0.000 _linalg.py:169(isComplexType)
        1    0.000    0.000    0.000    0.000 __init__.py:554(Formatter)
        1    0.000    0.000    0.000    0.000 threading.py:685(Barrier)
        7    0.000    0.000    0.000    0.000 typing.py:2709(final)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_sha3_384}
        2    0.000    0.000    0.000    0.000 __init__.py:332(get_default_scheme)
        2    0.000    0.000    0.000    0.000 _compiler.py:421(_generate_overlap_table)
       12    0.000    0.000    0.000    0.000 enum.py:1323(value)
        1    0.000    0.000    0.000    0.000 _colorize.py:16(ANSIColors)
        1    0.000    0.000    0.000    0.000 _colorize.py:174(Syntax)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:54(_get_platform_and_machine)
        1    0.000    0.000    0.000    0.000 typing.py:2923(<generic parameters of SupportsRound>)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:556(CClass)
        1    0.000    0.000    0.000    0.000 <frozen os>:1134(__subclasshook__)
        1    0.000    0.000    0.000    0.000 threading.py:290(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 _index_tricks_impl.py:211(MGridClass)
       12    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
        1    0.000    0.000    0.000    0.000 __init__.py:286(LogRecord)
        1    0.000    0.000    0.000    0.000 glob.py:524(_StringGlobber)
        1    0.000    0.000    0.000    0.000 _datasource.py:195(DataSource)
        4    0.000    0.000    0.000    0.000 typing.py:1033(_is_typevar_like)
        1    0.000    0.000    0.000    0.000 pickle.py:193(_Framer)
        6    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 _py_warnings.py:616(__init__)
        1    0.000    0.000    0.000    0.000 typing.py:166(__getattr__)
        8    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
        6    0.000    0.000    0.000    0.000 {built-in method _warnings._filters_mutated_lock_held}
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:13(_NestedSequence)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:396(CDLL)
        4    0.000    0.000    0.000    0.000 dataclasses.py:336(__set_name__)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:89(_get_context)
        5    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
        1    0.000    0.000    0.000    0.000 _colorize.py:189(Traceback)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:71(_filters)
        1    0.000    0.000    0.000    0.000 typing.py:2857(SupportsInt)
        1    0.000    0.000    0.000    0.000 threading.py:602(__init__)
        1    0.000    0.000    0.000    0.000 {method 'wrap' of 'numpy._core._multiarray_umath._array_converter' objects}
        4    0.000    0.000    0.000    0.000 __init__.py:604(CFunctionType)
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 dataclasses.py:1414(dataclass)
        1    0.000    0.000    0.000    0.000 inspect.py:1692(_shadowed_dict_from_weakref_mro_tuple)
        1    0.000    0.000    0.000    0.000 typing.py:526(_SpecialForm)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1455(StructuredVoidFormat)
        8    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.001    0.001 textwrap.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:501(__init_subclass__)
        4    0.000    0.000    0.000    0.000 dataclasses.py:705(<genexpr>)
        1    0.000    0.000    0.000    0.000 contextlib.py:631(AsyncExitStack)
        1    0.000    0.000    0.000    0.000 _os.py:394(_WindowsPathInfo)
        1    0.000    0.000    0.000    0.000 __init__.py:458(validate)
        1    0.000    0.000    0.000    0.000 _version.py:13(NumpyVersion)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:108(_check_methods)
        1    0.000    0.000    0.000    0.000 __init__.py:511(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 typing.py:1315(_GenericAlias)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        8    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 threading.py:630(set)
       24    0.000    0.000    0.000    0.000 inspect.py:2736(default)
